Vitglobal.com - eRuido DBAMonitor DataLogging File
System started at 	2022-09-29T14:27:26
Datalogging started at 	2022-09-30T14:39:11
LAEq1s,LCEq1s,LASlow,LASMax,Temperature,Humidity,Windspeed,Winddir,DateTime
40.1315,61.8029,38.2215,38.2471,,,-1,-1,2022-09-30T14:43:03
36.212,57.6965,36.8626,38.3218,,,-1,-1,2022-09-30T14:43:04
41.6207,63.8491,40.6518,40.6518,,,-1,-1,2022-09-30T14:43:05
38.0076,60.428,39.3328,40.6427,,,-1,-1,2022-09-30T14:43:06
37.6722,59.9848,38.3228,39.3206,,,-1,-1,2022-09-30T14:43:07
30.8187,53.0355,35.0857,38.2646,,,-1,-1,2022-09-30T14:43:08
26.0902,47.7635,31.7088,35.0161,,,-1,-1,2022-09-30T14:43:09
23.902,46.6996,28.5935,31.6373,,,-1,-1,2022-09-30T14:43:10
23.1467,42.4764,26.1312,28.527,,,-1,-1,2022-09-30T14:43:11
23.3877,42.0092,24.669,26.0861,,,-1,-1,2022-09-30T14:43:12
24.0272,45.8612,24.333,24.6638,,,-1,-1,2022-09-30T14:43:13
24.7924,49.2325,24.5852,24.7028,,,-1,-1,2022-09-30T14:43:14
24.0916,47.1112,24.2605,24.5981,,,-1,-1,2022-09-30T14:43:15
23.571,42.2034,23.8451,24.2649,,,-1,-1,2022-09-30T14:43:16
23.1613,41.4968,23.3963,23.8531,,,-1,-1,2022-09-30T14:43:17
23.7515,44.0611,23.6326,23.668,,,-1,-1,2022-09-30T14:43:18
22.9835,41.4904,23.249,23.6209,,,-1,-1,2022-09-30T14:43:19
22.9439,41.5383,23.0209,23.2758,,,-1,-1,2022-09-30T14:43:20
22.5229,41.5502,22.7191,22.9967,,,-1,-1,2022-09-30T14:43:21
22.5705,40.7024,22.6327,22.7224,,,-1,-1,2022-09-30T14:43:22
22.6943,41.0663,22.6744,22.6895,,,-1,-1,2022-09-30T14:43:23
22.6853,41.3075,22.6754,22.72,,,-1,-1,2022-09-30T14:43:24
